x, y
2021-5-30 0:30:8, 948406670.3564916
2021-5-31 17:14:34, 1157888713.5974784
2021-6-3 3:16:4, 1256259369.3986921
2021-6-4 5:11:37, 1266629770.117041
2021-6-5 2:10:53, 1318481761.5017235
2021-6-6 1:38:17, 1296555776.2943249
2021-6-6 23:51:38, 1358185558.2014115
2021-6-7 23:19:3, 1356407776.4418294
2021-6-8 21:32:23, 1387815268.4360204
2021-6-9 22:13:51, 1388111570.482227
2021-6-10 20:27:12, 1405000506.3535542
2021-6-12 0:50:54, 1363222613.6410146
2021-6-12 23:4:15, 1399074550.878863
2021-6-13 21:17:35, 1384259704.916856
2021-6-15 2:55:21, 1392556027.932948
2021-6-15 18:58:19, 1370630042.7255495
2021-6-17 1:50:12, 1397889379.315226
2021-6-18 0:3:31, 1356407776.4418294
2021-6-18 21:2:47, 1392259725.8867414
2021-6-20 0:12:25, 1354333698.739572
2021-6-21 2:7:59, 1365889283.2286217
2021-6-21 23:7:14, 1339222538.5242953
2021-6-23 4:45:1, 1352852212.922665
2021-6-23 19:33:54, 1323222484.3774614
2021-6-24 22:43:33, 1349592951.4497077
2021-6-26 0:39:6, 1326185480.4254022
2021-6-26 19:10:13, 1331222505.3473468
2021-6-27 17:23:33, 1299815037.7672825
2021-6-29 1:29:29, 1316111369.5461965
2021-6-30 0:56:53, 1273444582.9020996
2021-7-1 0:24:18, 1308111348.576311
2021-7-1 23:51:43, 1301592825.6303961
2021-7-3 1:47:16, 1321148431.089331
2021-7-4 0:0:37, 1311666899.8884122
2021-7-5 0:42:6, 1343963298.021223
2021-7-6 5:5:48, 1333889187.1420174
2021-7-7 2:5:4, 1369148544.701579
2021-7-8 0:18:24, 1356111474.3956227
2021-7-9 4:42:7, 1382778194.6858225
2021-7-9 23:13:14, 1371222622.4038365
2021-7-11 1:8:47, 1393444897.4503784
2021-7-11 20:53:58, 1379518957.6269917
2021-7-12 22:49:32, 1409741253.6434188
2021-7-14 0:45:6, 1399370865.132133
2021-7-14 22:58:25, 1435519104.4161885
2021-7-16 18:11:2, 1466334004.5250292
2021-7-18 3:31:2, 1443519125.3860736
2021-7-18 22:2:9, 1479667364.670129
2021-7-19 23:57:42, 1479667364.670129
2021-7-20 20:56:58, 1514926722.2296908
2021-7-22 3:48:49, 1509889672.8936195
2021-7-23 3:16:14, 1540111968.910047
2021-7-23 20:33:16, 1530037870.2379045
2021-7-24 22:28:50, 1548408291.9261389
2021-7-26 4:6:37, 1540111968.910047
2021-7-26 20:9:35, 1562334256.1636522
2021-7-28 1:47:22, 1564112031.8197026
2021-7-28 21:32:33, 1594334340.0431933
2021-7-30 1:56:15, 1585445425.1417513
2021-7-30 22:55:32, 1604112136.669129
2021-7-31 19:54:47, 1598482495.4477077
2021-8-2 5:14:47, 1622186256.3111567
2021-8-3 4:42:11, 1621001072.5404563
2021-8-3 15:48:52, 1614482537.3874784
2021-8-5 1:8:52, 1622186256.3111567
2021-8-6 3:4:26, 1621889966.4720132
2021-8-6 19:7:24, 1597889903.5623574
2021-8-8 0:45:10, 1624852925.8987641
2021-8-9 0:12:36, 1619815888.769756
2021-8-9 21:11:51, 1643519643.5296736
2021-8-11 2:49:38, 1641445571.930948
2021-8-11 22:34:49, 1671964163.8900504
2021-8-12 23:16:19, 1676408621.3407714
2021-8-14 3:40:0, 1658927105.7911572
2021-8-15 0:39:17, 1682038274.769256
2021-8-16 12:27:26, 1680556788.952349
2021-8-16 16:9:39, 1698630914.6979084
2021-8-18 6:25:57, 1696853129.8865604
2021-8-18 22:28:56, 1680853078.7914925
2021-8-19 20:42:16, 1706038340.7306776
2021-8-20 21:23:44, 1694186457.2471871
2021-8-21 17:8:57, 1721149493.31654
2021-8-23 2:28:57, 1727075436.584168
2021-8-24 5:38:34, 1715519852.0951185
2021-8-24 21:41:32, 1751668091.3791742
2021-8-25 19:54:52, 1739816204.8439178
2021-8-26 15:40:4, 1765594055.6166873
2021-8-27 20:3:46, 1774779260.3572729
2021-8-28 23:13:24, 1772408880.608809
2021-8-30 7:19:20, 1805001568.5807636